region_code,region_name,n_train,n_test,r2_train,r2_test,pseudo_r2_train,pseudo_r2_test,rmse_train,rmse_test,mae_train,mae_test,nmse_train,nmse_test,zero_rmse_train,zero_rmse_test,zero_mse_train,zero_mse_test,improve_vs_zero_train,improve_vs_zero_test,better_than_zero_train,better_than_zero_test,residual_bias,residual_std
E12000001,North East,1628,407,0.014,-0.003,0.015,0.002,28.025,28.211,18.884,19.389,0.986,1.003,28.28,28.182,799.761,794.198,0.018,-0.002,True,False,0.928,28.195
E12000002,North West,1628,407,0.035,-0.01,0.038,0.005,62.606,64.059,37.645,38.228,0.965,1.01,63.887,63.745,4081.495,4063.399,0.04,-0.01,True,False,3.124,63.983
E12000003,Yorkshire and the Humber,1628,407,0.021,0.035,0.025,0.048,44.988,36.081,28.771,26.747,0.979,0.965,45.514,36.735,2071.545,1349.461,0.023,0.035,True,True,2.456,35.997
E12000004,East Midlands,1628,407,0.035,0.022,0.038,0.029,38.482,33.929,25.984,24.861,0.965,0.978,39.24,34.328,1539.781,1178.378,0.038,0.023,True,True,2.746,33.818
E12000005,West Midlands,1628,407,0.054,0.032,0.056,0.034,43.106,52.401,29.276,30.755,0.946,0.968,44.384,53.494,1969.909,2861.637,0.057,0.04,True,True,-1.825,52.37
E12000006,East,1628,407,0.009,0.012,0.014,0.013,47.451,37.738,29.788,27.323,0.991,0.988,47.72,37.971,2277.199,1441.819,0.011,0.012,True,True,-0.859,37.728
E12000007,London,1628,407,0.145,0.068,0.148,0.074,49.228,61.368,32.109,35.106,0.855,0.932,53.3,64.125,2840.938,4111.958,0.147,0.084,True,True,-3.674,61.257
E12000008,South East,1628,407,0.02,0.032,0.021,0.037,69.598,60.13,42.078,39.95,0.98,0.968,70.462,61.155,4964.903,3739.962,0.024,0.033,True,True,3.495,60.029
E12000009,South West,1628,407,0.038,-0.003,0.042,0.012,46.532,50.956,29.693,30.494,0.962,1.003,47.474,51.507,2253.826,2652.96,0.039,0.021,True,True,-6.126,50.587
W92000004,Wales,1628,407,0.059,0.055,0.061,0.101,30.481,30.933,21.164,21.431,0.941,0.945,31.429,32.256,987.786,1040.455,0.059,0.08,True,True,-4.864,30.548
TOTAL,Total,16280,4070,0.044,0.029,0.046,0.03,47.625,47.389,29.539,29.429,0.956,0.971,48.772,48.202,2378.714,2323.423,0.047,0.033,True,True,-0.46,47.387
