region_code,region_name,degree,n_train,n_test,rmse_train,rmse_test,mae_train,mae_test
E12000001,North East,2,1628,407,27.997674,28.027226,18.840055,19.281789
E12000002,North West,2,1628,407,62.655811,62.853532,38.070385,37.608479
E12000003,Yorkshire and the Humber,2,1628,407,45.164805,36.05234,28.888303,26.794984
E12000004,East Midlands,2,1628,407,38.253957,34.201779,25.878269,24.949271
E12000005,West Midlands,2,1628,407,43.52569,52.498818,29.417153,30.654617
E12000006,East,2,1628,407,46.989785,37.559818,29.85824,27.154169
E12000007,London,2,1628,407,50.762729,62.643037,33.131683,36.773701
E12000008,South East,2,1628,407,69.670499,59.838553,42.23189,39.44857
E12000009,South West,2,1628,407,46.401192,50.880536,29.732524,30.828834
W92000004,Wales,2,1628,407,30.769716,31.11738,21.408562,21.94726
TOTAL,Total,2,16280,4070,47.797542,47.36498,29.745706,29.544167
