region_code,region_name,n_train,n_test,r2_train,r2_test,pseudo_r2_train,pseudo_r2_test,rmse_train,rmse_test,mae_train,mae_test,nmse_train,nmse_test,zero_rmse_train,zero_rmse_test,zero_mse_train,zero_mse_test,improve_vs_zero_train,improve_vs_zero_test,better_than_zero_train,better_than_zero_test,residual_bias,residual_std
E12000001,North East,1831,204,0.526,0.493,0.527,0.499,56.434,53.275,40.975,41.234,0.474,0.507,568.801,561.588,323535.094,315380.858,0.99,0.991,True,True,2.23,53.229
E12000002,North West,1831,204,0.558,0.477,0.559,0.477,147.32,165.732,107.588,103.033,0.442,0.523,1490.158,1489.088,2220570.969,2217383.647,0.99,0.988,True,True,-0.453,165.731
E12000003,Yorkshire and the Humber,1831,204,0.565,0.64,0.566,0.642,96.194,84.286,67.443,63.306,0.435,0.36,1045.211,1051.612,1092467.036,1105888.064,0.992,0.994,True,True,-1.39,84.274
E12000004,East Midlands,1831,204,0.56,0.582,0.561,0.582,72.115,67.204,50.275,52.215,0.44,0.418,835.755,840.682,698486.682,706746.015,0.993,0.994,True,True,0.159,67.204
E12000005,West Midlands,1831,204,0.617,0.512,0.618,0.52,84.598,110.151,60.32,67.878,0.383,0.488,1060.542,1066.747,1124749.808,1137948.5,0.994,0.989,True,True,-10.89,109.611
E12000006,East,1831,204,0.537,0.511,0.538,0.527,91.32,81.951,62.625,61.775,0.463,0.489,1031.226,1024.459,1063427.896,1049516.083,0.992,0.994,True,True,8.654,81.493
E12000007,London,1831,204,0.479,0.509,0.48,0.514,175.556,188.556,139.647,146.767,0.521,0.491,1182.429,1197.075,1398138.536,1432987.529,0.978,0.975,True,True,8.853,188.348
E12000008,South East,1831,204,0.595,0.573,0.595,0.58,128.216,118.451,87.981,84.579,0.405,0.427,1557.279,1547.826,2425119.37,2395764.098,0.993,0.994,True,True,13.026,117.732
E12000009,South West,1831,204,0.601,0.553,0.602,0.554,83.746,91.598,55.535,62.762,0.399,0.447,1061.032,1071.781,1125788.437,1148713.52,0.994,0.993,True,True,-2.22,91.571
W92000004,Wales,1831,204,0.608,0.593,0.609,0.594,52.708,53.288,37.029,38.81,0.392,0.407,647.993,648.819,419894.649,420965.946,0.993,0.993,True,True,-0.664,53.284
TOTAL,Total,18310,2040,0.902,0.894,0.902,0.894,105.778,110.267,70.942,72.236,0.098,0.106,1090.513,1092.305,1189217.848,1193129.426,0.991,0.99,True,True,1.73,110.254
