region_code,region_name,degree,n_train,n_test,mse_train,mse_test,mae_train,mae_test
E12000001,North East,2,1831,204,4013.044706,3392.891389,47.127341,47.305159
E12000002,North West,2,1831,204,30006.272278,29756.101208,131.560259,117.795783
E12000003,Yorkshire and the Humber,2,1831,204,12812.275127,10981.230882,83.706113,79.82635
E12000004,East Midlands,2,1831,204,5674.884992,5445.667236,52.008106,55.495232
E12000005,West Midlands,2,1831,204,8681.618496,13548.799851,66.656666,68.709517
E12000006,East,2,1831,204,9151.448009,6976.367042,66.999919,62.402382
E12000007,London,2,1831,204,43591.219101,52656.742626,174.994724,190.159718
E12000008,South East,2,1831,204,19221.275045,16837.220359,94.563226,94.460613
E12000009,South West,2,1831,204,8258.706489,9487.551591,61.162237,69.375211
W92000004,Wales,2,1831,204,3455.344528,3079.643804,41.333809,40.496517
TOTAL,Total,2,18310,2040,14486.608877,15216.221599,82.01124,82.602648
